application/dsptype
application/hdf
application/mac-binhex40
application/msword
application/netcdf
application/octet-stream
application/oda
application/pdf
application/postscript
application/rtf
application/sgml
application/vocaltec-media-desc
application/zip
application/x-compress
application/x-compressed
application/x-csh
application/x-dvi
application/x-excel
application/x-gtar
application/x-hdf
application/x-latex
application/x-mif
application/x-msdownload
application/x-netcdf
application/x-pagemaker
application/x-perl
application/x-powerpoint
application/x-project
application/x-sh
application/x-shar
application/x-stuffit
application/x-tar
application/x-tcl
application/x-tex
application/x-texinfo
application/x-troff
application/x-troff-man
application/x-troff-me
application/x-troff-ms
application/x-visio
application/x-wais-source
application/x-winword
application/x-x509-ca-cert
application/x-zip-compressed
application/zip
audio/basic
audio/midi
audio/voxware
audio/wav
audio/x-aiff
audio/x-mpeg
audio/x-pn-realaudio
audio/x-pn-realaudio-plugin
audio/x-wav
chemical/x-pdb
chemical/x-xyz
image/*
image/g3fax
image/gif
image/ief
image/jpeg
image/png
image/tiff
image/x-cmu-raster
image/x-photo-cd
image/x-png
image/x-portable-anymap
image/x-portable-bitmap
image/x-portable-graymap
image/x-portable-pixmap
image/x-rgb
image/x-xbitmap
image/x-xpixmap
image/x-xwd
image/x-xwindowdump
image/xbm
image/xwd
magnus-internal/cgi
magnus-internal/imagemap
magnus-internal/parsed-html
message/rfc822
model/vrml
text/enriched
text/html
text/plain
text/richtext
text/sgml
text/tab-separated-values
text/x-setext
video/avi
video/mpeg
video/quicktime
video/x-msvideo
video/x-sgi-movie
x-world/x-vrml
