Administration of economic programs
Administration of environmental quality and housing programs
Administration of human resource programs
Agricultural production crops
Agricultural production livestock
Agricultural services
Amusement and recreation services
Apparel and accessory stores
Apparel and other finished products made from fabrics and similar materials
Automotive dealers and gasoline service stations
Automotive repair
Building construction general contractors and operative builders
Building materials
Business services
Chemicals and allied products
Coal mining
Communications
Construction special trade contractors
Depository institutions
Eating and drinking places
Educational services
Electric
Electronic and other electrical machinery and equipment
Engineering
Executive
Fabricated metal products
Fishing
Food and kindred products
Food stores
Forestry
Furniture and fixtures
General merchandise stores
Health services
Heavy construction other than building construction contractors
Holding and other investment offices
Home furniture
Hotels
Industrial and commercial machinery and computer equipment
Insurance agents
Insurance carriers
Justice
Leather and leather products
Legal services
Local and suburban transit and interurban highway passenger transportation
Lumber and wood products
Measuring
Membership organizations
Metal mining
Mining and quarrying of nonmetallic minerals
Miscellaneous manufacturing industries
Miscellaneous repair services
Miscellaneous retail
Miscellaneous services
Motion pictures
Motor freight transportation and warehousing
Museums
National security and international affairs
Non-classifiable establishments
Non-depository credit institutions
Oil and gas extraction
Paper and allied products
Personal services
Petroleum refining and related industries
Pipelines
Primary metal industries
Printing
Private households
Public finance
Railroad transportation
Real estate
Rubber and miscellaneous plastics products
Security and commodity brokers
Social services
Stone
Textile mill products
Tobacco products
Transportation by air
Transportation services
US Postal Service
Water transportation
Wholesale trade durable goods
Wholesale trade non-durable goods
