Baht
Bolivar
Dollar
Drachma
ECU
Escudo
Franc
Guilder
Krona
Krone
Lira
Mark
Markka
N.T. Dollar
Peseta
Peso
Pesos
Pound
Rand
Real
Ringgit
Rupee
Schilling
Shekel
Won
Yen
Yuan
