125 - British Columbia 
201 - New Jersey 
202 - Washington, DC 
203 - Connecticut 
204 - Manitoba 
205 - Alabama 
206 - Washington 
207 - Maine 
208 - Idaho 
209 - California 
210 - Texas 
212 - New York 
213 - California 
214 - Texas 
215 - Pennsylvania 
216 - Ohio 
217 - Illinois 
218 - Minnesota 
219 - Indiana 
240 - Maryland 
242 - Bahamas 
248 - Michigan 
250 - British Columbia 
253 - Washington 
254 - Texas 
264 - Anguilla 
268 - Antigua & Barbuda 
281 - Texas 
301 - Maryland 
302 - Delaware 
303 - Colorado 
304 - West Virginia 
305 - Florida 
306 - Saskatchewan 
307 - Wyoming 
308 - Nebraska 
309 - Illinois 
310 - California 
312 - Illinois 
313 - Michigan 
314 - Missouri 
315 - New York 
316 - Kansas 
317 - Indiana 
318 - Louisiana 
319 - Iowa 
320 - Minnesota 
330 - Ohio 
334 - Alabama 
340 - US Virgin Islands 
345 - Cayman Islands 
352 - Florida 
360 - Washington 
401 - Rhode Island 
402 - Nebraska 
403 - Alberta and Yukon Territory 
404 - Georgia 
405 - Oklahoma 
406 - Montana 
407 - Florida 
408 - California 
409 - Texas 
410 - Maryland 
412 - Pennsylvania 
413 - Massachusetts 
414 - Wisconsin 
415 - California 
416 - Ontario 
417 - Missouri 
418 - Quebec 
419 - Ohio 
423 - Kentucky 
425 - Washington 
440 - Ohio 
441 - Bermuda 
443 - Maryland 
473 - Grenada 
501 - Arkansas 
502 - Kentucky 
503 - Oregon 
504 - Louisiana 
505 - New Mexico 
506 - New Brunswick 
507 - Minnesota 
508 - Massachusetts 
509 - Washington 
510 - California 
512 - Texas 
513 - Ohio 
514 - Quebec 
515 - Iowa 
516 - New York 
517 - Michigan 
518 - New York 
519 - Ontario 
520 - Arizona 
540 - Virginia 
541 - Oregon 
561 - Florida 
562 - California 
573 - Missouri 
601 - Mississippi 
602 - Arizona 
603 - New Hampshire 
604 - British Columbia 
605 - South Dakota 
606 - Kentucky 
607 - New York 
608 - Wisconsin 
609 - New Jersey 
610 - Pennsylvania 
612 - Minnesota 
613 - Ontario 
614 - Ohio 
615 - North Carolina 
616 - Michigan 
617 - Massachusetts 
618 - Illinois 
619 - California 
626 - California 
630 - Illinois 
649 - Turks & Caicos Islands 
650 - California 
664 - Montserrat 
670 - Northern Mariana Islands 
671 - Guam 
701 - North Dakota 
702 - Nevada 
703 - Virginia 
704 - North Carolina 
705 - Ontario 
706 - Georgia 
707 - California 
708 - Illinois 
709 - Newfoundland 
712 - Iowa 
713 - Texas 
714 - California 
715 - Wisconsin 
716 - New York 
717 - Pennsylvania 
718 - New York 
719 - Colorado 
732 - New Jersey 
757 - Virginia 
758 - St Lucia 
760 - California 
765 - Indiana 
770 - Georgia 
773 - Illinois 
787 - Puerto Rico 
800 - Toll-Free 
801 - Utah 
802 - Vermont 
803 - South Carolina 
804 - Virginia 
805 - California 
806 - Texas 
807 - Ontario 
808 - Hawaii 
809 - British Virgin Islands 
810 - Michigan 
812 - Indiana 
813 - Florida 
814 - Pennsylvania 
815 - Illinois 
816 - Missouri 
817 - Texas 
818 - California 
819 - Northwest Territories 
830 - Texas 
847 - Illinois 
850 - Florida 
860 - Connecticut 
864 - South Carolina 
867 - Northwest Territories 
868 - Trinidad & Tobago 
869 - St Kitts & Nevis 
870 - Arkansas 
876 - Jamaica 
888 - Toll-Free 
900 - Pay-Per-Call 
901 - Tennessee 
902 - Nova Scotia 
903 - Texas 
904 - Florida 
905 - Ontario 
906 - Michigan 
907 - Alaska 
908 - New Jersey 
909 - California 
910 - North Carolina 
912 - Georgia 
913 - Kansas 
914 - New York 
915 - Texas 
916 - California 
917 - New York 
918 - Oklahoma 
919 - North Carolina 
920 - Wisconsin 
937 - Ohio 
940 - Texas 
941 - Florida 
954 - Florida 
956 - Texas 
970 - Colorado 
972 - Texas 
973 - New Jersey 
